,0-1-value-2,0-2-value-2,0-3-value-2,0-4-value-2,0-5-value-2,0-6-value-2,0-7-value-2,0-8-value-2,0-9-value-2,0-10-value-2,1-1-value-2,1-2-value-2,1-3-value-2,1-4-value-2,1-5-value-2,1-6-value-2,1-7-value-2,1-8-value-2,1-9-value-2,1-10-value-2,2-1-value-2,2-2-value-2,2-3-value-2,2-4-value-2,2-5-value-2,2-6-value-2,2-7-value-2,2-8-value-2,2-9-value-2,2-10-value-2,3-1-value-2,3-2-value-2,3-3-value-2,3-4-value-2,3-5-value-2,3-6-value-2,3-7-value-2,3-8-value-2,3-9-value-2,3-10-value-2,4-1-value-2,4-2-value-2,4-3-value-2,4-4-value-2,4-5-value-2,4-6-value-2,4-7-value-2,4-8-value-2,4-9-value-2,4-10-value-2,5-1-value-2,5-2-value-2,5-3-value-2,5-4-value-2,5-5-value-2,5-6-value-2,5-7-value-2,5-8-value-2,5-9-value-2,5-10-value-2,6-1-value-2,6-2-value-2,6-3-value-2,6-4-value-2,6-5-value-2,6-6-value-2,6-7-value-2,6-8-value-2,6-9-value-2,6-10-value-2,7-1-value-2,7-2-value-2,7-3-value-2,7-4-value-2,7-5-value-2,7-6-value-2,7-7-value-2,7-8-value-2,7-9-value-2,7-10-value-2,8-1-value-2,8-2-value-2,8-3-value-2,8-4-value-2,8-5-value-2,8-6-value-2,8-7-value-2,8-8-value-2,8-9-value-2,8-10-value-2,9-1-value-2,9-2-value-2,9-3-value-2,9-4-value-2,9-5-value-2,9-6-value-2,9-7-value-2,9-8-value-2,9-9-value-2,9-10-value-2
0,7.9355927,8.462311,8.107971,7.044937,6.961151,7.4615326,6.6475067,6.815094,7.569275,7.1814117,7.2197113,5.3139343,5.6299744,3.5924988,2.5151062,7.6698303,7.064102,8.356964,6.932419,7.677017,4.7177734,7.4064636,5.024231,5.3905487,4.6268005,8.440765,7.360977,6.8797455,6.755249,6.815094,7.8015137,9.264374,7.4088593,7.679413,9.992203,7.2747803,8.268372,8.249222,7.9643097,8.43837,6.4128723,6.1878204,8.821442,7.011429,8.93396,7.2987213,8.167816,8.127121,7.5884247,6.5804596,8.749619,5.831085,8.151062,6.6834106,6.1950073,7.0497284,7.8613586,7.2747803,6.6020203,8.095993,7.760803,8.608353,6.9515686,7.2604218,8.488647,7.854187,7.696167,8.81665,7.806305,8.287537,6.4056854,6.5325775,7.186203,7.921219,6.7887573,5.5677185,6.1686707,6.71933,8.0576935,5.4336395,6.5684967,7.0377655,6.901291,7.7655945,8.165436,8.119934,8.309082,6.1447144,7.1646576,6.870163,6.961151,6.62117,7.775177,7.1024017,7.37294,6.9515686,7.171829,7.4208374,7.7775726,6.0058594
1,7.78714,8.452728,8.514984,7.19339,7.107193,7.5908203,6.6834106,7.11438,7.5596924,6.987488,7.921219,5.4719543,5.9819183,3.7026367,2.2421722,7.4998474,6.716934,8.462311,6.87735,7.744049,4.787216,7.250839,4.952408,5.510254,4.7369385,8.079239,7.538147,7.0856476,7.1024017,7.040146,7.600403,9.144653,7.3035126,7.5405426,10.006577,7.313095,8.364151,7.9355927,7.9547424,8.8046875,6.554123,6.3625946,8.2204895,7.2149353,8.977066,7.4735107,7.933197,8.10318,7.4208374,6.7456665,8.787918,6.2189484,8.069656,6.7935486,6.4823,7.0233917,7.890091,7.3466187,6.743271,8.064865,8.02417,8.603561,7.0377655,7.3466187,8.493439,7.9595337,7.8613586,9.099167,7.878128,8.2157135,6.518219,6.202179,7.179016,7.715317,6.7815857,5.096054,6.257248,6.398514,7.60997,5.47435,7.0617065,6.985092,6.9395905,7.847,8.50061,8.589203,8.440765,6.343445,7.5094147,6.925232,7.4735107,6.7839813,7.4878693,7.2149353,7.1838074,6.980301,7.380127,7.569275,7.993042,6.209366
2,7.6626434,8.495834,8.93158,7.3777313,7.2364807,7.70813,6.8198853,7.4088593,7.569275,6.93721,8.617935,5.7424927,6.360199,3.810379,2.201477,7.5118103,6.5804596,8.553284,6.9108734,7.830246,4.9619904,7.0856476,4.9667816,5.6419373,4.9787445,7.928406,7.7177124,7.3945007,7.447174,7.2795715,7.459137,9.09198,7.229294,7.45195,9.9036255,7.483078,8.414429,7.7416534,7.9882507,9.185364,6.8174896,6.530182,7.902069,7.3537903,8.984253,7.5237885,7.739258,8.1414795,7.5596924,7.03537,8.814255,6.6115875,8.019379,6.8198853,6.8055267,6.9946594,7.8685455,7.4447784,6.8917084,8.036148,8.230072,8.572449,7.119156,7.5118103,8.519775,8.050507,7.9882507,9.297882,7.94516,8.158249,6.6905975,6.14711,7.1526794,7.5884247,6.8103027,4.9476166,6.501465,6.072891,7.3106995,5.5270233,7.6219482,6.953964,7.107193,7.7967224,8.766373,9.118317,8.593994,6.4894867,7.847,7.0305786,7.9714966,7.03537,7.2700043,7.360977,7.100006,7.076065,7.581238,7.696167,8.18219,6.432022
3,7.598007,8.586807,9.271545,7.5908203,7.348999,7.8015137,6.965927,7.70813,7.576462,6.9779053,9.041702,6.039383,6.692993,3.9348755,2.4384918,7.60997,6.5637054,8.625122,6.9755096,7.8924866,5.194229,6.918045,5.029022,5.73053,5.304352,7.9475555,7.921219,7.696167,7.7344666,7.518997,7.380127,9.111145,7.2484436,7.4088593,9.671387,7.7488403,8.440765,7.6387024,8.028961,9.5325165,7.0736694,6.7025757,7.8637543,7.502228,9.05368,7.447174,7.5572968,8.239655,7.8493958,7.3274536,8.8358,6.989868,7.9188232,6.7839813,7.0545197,7.011429,7.8613586,7.5596924,7.071274,7.9906464,8.392883,8.522171,7.1957703,7.677017,8.577225,8.110367,8.062485,9.479843,7.9547424,8.10318,6.9635315,6.274002,7.174225,7.4567413,6.851013,5.007477,6.7265167,5.814316,7.1814117,5.558136,8.222885,6.9395905,7.2628174,7.751236,8.960297,9.58519,8.641876,6.6259613,8.105576,7.1885986,8.412033,7.3513947,7.186203,7.4615326,7.107193,7.2005615,7.6746216,7.815872,8.304291,6.64032
4,7.6027985,8.701736,9.453506,7.811081,7.483078,7.8637543,7.0305786,7.9834747,7.62912,7.052124,9.120712,6.269226,6.8582,4.121628,2.936493,7.727295,6.554123,8.687363,7.052124,7.9044647,5.450409,6.71933,5.1247864,5.7999573,5.680252,8.048111,8.151062,7.961914,7.937973,7.7225037,7.348999,9.135086,7.392105,7.387314,9.300278,8.079239,8.4335785,7.6315155,8.064865,9.836578,7.2795715,6.932419,7.981079,7.684189,9.32901,7.3274536,7.368164,8.35936,8.10318,7.5596924,8.871719,7.308304,7.744049,6.7265167,7.229294,7.095215,7.8829193,7.6865845,7.320282,7.9547424,8.5125885,8.450333,7.2987213,7.815872,8.639481,8.148666,8.100784,9.659409,7.9044647,8.040924,7.2987213,6.458359,7.2077484,7.2915497,6.9036865,5.170288,6.9946594,5.6706696,7.162262,5.5868683,8.864532,6.930023,7.387314,7.76799,9.099167,9.898834,8.574844,6.7408752,8.239655,7.384918,8.641876,7.68898,7.1694336,7.5118103,7.1526794,7.3346405,7.672226,7.897278,8.344986,6.8198853
5,7.653076,8.814255,9.46788,8.009811,7.62912,7.8685455,7.0425415,8.210922,7.7057343,7.126343,8.878906,6.367386,6.839035,4.2628784,3.525467,7.8278503,6.56131,8.713699,7.138321,7.9164276,5.6874237,6.499069,5.2085876,5.8550262,6.0896606,8.129517,8.352173,8.170212,8.067261,7.9164276,7.3035126,9.149445,7.648285,7.411255,8.840591,8.409637,8.352173,7.696167,8.091202,10.011353,7.4615326,7.2005615,8.129517,7.8876953,9.748001,7.1885986,7.210144,8.471893,8.246826,7.76799,8.900452,7.5836334,7.5477295,6.7289124,7.3346405,7.217331,7.894882,7.7655945,7.6267395,7.928406,8.570053,8.356964,7.4256134,7.909256,8.6754,8.184586,8.110367,9.788696,7.8015137,7.9786835,7.6674347,6.6475067,7.234085,7.0784607,6.9683228,5.3498535,7.3825226,5.697006,7.1766205,5.6706696,9.429565,6.9443817,7.5716705,7.842209,9.254791,10.059235,8.447937,6.79834,8.210922,7.5836334,8.93158,8.012207,7.1287384,7.562088,7.2125397,7.45195,7.6434937,7.9475555,8.325836,6.997055
6,7.720108,8.905243,9.369705,8.194153,7.7775726,7.818268,7.047333,8.361755,7.8086853,7.1814117,8.337814,6.312317,6.6977844,4.356247,4.0737305,7.890091,6.6307373,8.696945,7.2149353,7.9427643,5.869385,6.2907715,5.2828064,5.922058,6.511032,8.170212,8.481461,8.366547,8.160645,8.091202,7.2316895,9.2117,7.9882507,7.4687195,8.368942,8.644272,8.20134,7.791931,8.1367035,10.016144,7.679413,7.4926605,8.244431,8.033752,10.195709,7.064102,7.138321,8.541321,8.239655,7.957138,8.886078,7.835022,7.4088593,6.8318634,7.3777313,7.348999,7.854187,7.78714,7.921219,7.928406,8.574844,8.246826,7.574066,7.9786835,8.6706085,8.189377,8.117538,9.788696,7.665039,7.921219,7.9667053,6.8079224,7.3178864,6.8126984,7.0377655,5.483917,7.8829193,5.941208,7.150284,5.8238983,9.731232,7.011429,7.8326416,7.949951,9.355347,10.035294,8.285141,6.7815857,8.055298,7.7464447,9.163803,8.297104,7.083252,7.6387024,7.320282,7.538147,7.6746216,7.94516,8.225281,7.150284
7,7.806305,8.948334,9.115921,8.366547,7.9116364,7.7296906,7.0856476,8.443161,7.909256,7.1814117,7.6027985,6.0465546,6.4918823,4.4615936,4.552582,7.9044647,6.7408752,8.653839,7.277176,7.961914,6.0034637,6.111206,5.3666077,6.0130463,6.9228363,8.177399,8.507797,8.558075,8.249222,8.232468,7.1694336,9.352951,8.35936,7.605179,8.00502,8.716095,7.952347,7.9188232,8.203735,9.894043,7.928406,7.7296906,8.316269,8.194153,10.490204,6.953964,7.186203,8.543716,8.170212,8.1367035,8.842987,8.064865,7.4256134,7.0617065,7.3705597,7.463928,7.732071,7.7177124,8.16304,7.94516,8.57962,8.131912,7.6937714,8.012207,8.598785,8.167816,8.117538,9.618713,7.521393,7.8565826,8.179794,6.9276276,7.5046234,6.5206146,7.1167603,5.57251,8.383301,6.372177,7.0856476,6.0369873,9.745605,7.11438,8.12233,8.064865,9.372101,9.896439,8.1414795,6.71933,7.815872,7.8565826,9.26915,8.5125885,7.076065,7.7248993,7.439987,7.5525055,7.7895355,7.897278,8.072052,7.2963257
8,7.9188232,8.9674835,8.740036,8.505402,8.021774,7.600403,7.155075,8.488647,7.9714966,7.1335297,6.774399,5.5988464,6.245285,4.5406036,4.9476166,7.870941,6.913254,8.632294,7.3226624,7.9882507,6.1327515,5.9819183,5.450409,6.1447144,7.265213,8.184586,8.445557,8.759186,8.2994995,8.323441,7.123947,9.439148,8.680176,7.8134766,7.763199,8.601166,7.6865845,8.038528,8.237259,9.704895,8.172607,7.842209,8.356964,8.395279,10.473434,6.886917,7.313095,8.503006,8.079239,8.297104,8.797501,8.249222,7.6123657,7.3466187,7.320282,7.562088,7.593216,7.578842,8.321045,7.9906464,8.608353,8.02417,7.7895355,8.021774,8.455124,8.107971,8.093597,9.326614,7.3657684,7.7895355,8.337814,7.059311,7.7488403,6.240494,7.1598663,5.637146,8.790314,6.9228363,7.090439,6.2668304,9.527725,7.2245026,8.347382,8.213318,9.331406,9.764755,8.105576,6.695389,7.5405426,7.9475555,9.400833,8.637085,7.1335297,7.815872,7.514206,7.495056,7.9475555,7.815872,7.92601,7.447174
9,8.012207,8.981857,8.373718,8.603561,8.062485,7.4615326,7.265213,8.467102,8.007416,7.059311,6.063324,5.0194397,6.0298004,4.550186,5.244507,7.8685455,7.123947,8.713699,7.348999,8.040924,6.28598,5.881363,5.5485687,6.348236,7.4998474,8.184586,8.352173,8.979462,8.328232,8.344986,7.150284,9.321823,8.876511,8.072052,7.6387024,8.368942,7.442383,8.129517,8.186981,9.46788,8.400055,7.811081,8.352173,8.526947,10.162186,6.827072,7.5094147,8.395279,8.0026245,8.443161,8.744827,8.313873,7.9643097,7.600403,7.2436676,7.6387024,7.526169,7.4256134,8.404846,8.016983,8.608353,7.92601,7.8446045,8.012207,8.277954,8.016983,8.0576935,8.99382,7.1909943,7.727295,8.49823,7.186203,8.0816345,5.9914856,7.1885986,5.740097,9.156631,7.521393,7.2245026,6.5278015,9.149445,7.2987213,8.440765,8.366547,9.245209,9.554062,8.222885,6.6594696,7.241272,7.981079,9.386475,8.689758,7.253235,7.854187,7.4998474,7.3825226,8.151062,7.684189,7.8134766,7.574066
